dest,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,cancelled
ABE,1,6.361596009975062,4.5448877805486285,2.0586034912718203,5.751870324189526,1.3728179551122195,0.004987531172069825,0.02493765586034913
ABE,2,7.7126137841352405,6.074122236671001,1.9544863459037711,6.189856957087126,1.8725617685305591,0.0,0.027308192457737322
ABE,3,3.069915254237288,3.9608050847457625,2.4565677966101696,3.204449152542373,0.3093220338983051,0.0,0.04025423728813559
ABE,4,2.710450623202301,2.2157238734419944,1.6586768935762224,4.325982742090124,1.3528283796740173,0.007670182166826462,0.019175455417066157
ABE,5,3.248502994011976,3.714570858283433,1.6606786427145708,3.8842315369261478,0.717564870259481,0.003992015968063872,0.016966067864271458
ABE,6,9.522091974752028,5.42200180342651,2.680793507664563,6.153291253381425,1.4634806131650135,0.030658250676284943,0.033363390441839495
ABE,7,9.46483704974271,5.210120068610634,2.858490566037736,6.385934819897084,1.6037735849056605,0.0,0.03173241852487135
ABE,8,6.1898188093183775,5.163071613459879,2.2320966350301985,4.43572044866264,1.6453839516824849,0.0,0.03192407247627265
ABE,9,1.1019367991845057,2.614678899082569,1.8552497451580021,3.9398572884811416,0.8868501529051988,0.14067278287461774,0.014271151885830785
ABE,10,-0.7951356407857811,2.9756782039289056,0.8465855940130963,3.256314312441534,0.6043030869971936,0.0,0.002806361085126286
ABE,11,2.970703125,5.5927734375,1.41015625,4.4970703125,0.4921875,0.015625,0.0224609375
ABE,12,1.793717277486911,3.648167539267016,1.6596858638743455,4.604188481675393,0.437696335078534,0.004188481675392671,0.012565445026178011
ABI,1,5.220238095238095,2.3095238095238093,1.1130952380952381,3.8898809523809526,1.1398809523809523,0.0,0.002976190476190476
ABI,2,12.493197278911564,4.180272108843537,3.67687074829932,5.959183673469388,0.9523809523809523,0.0,0.034013605442176874
ABI,3,3.696485623003195,2.2140575079872202,1.2651757188498403,3.4345047923322682,0.4984025559105431,0.0,0.006389776357827476
ABI,4,3.2142857142857144,1.5476190476190477,1.0,5.342261904761905,0.4017857142857143,0.0,0.03273809523809524
ABI,5,6.33420365535248,2.7180156657963446,2.031331592689295,3.783289817232376,1.248041775456919,0.0,0.028720626631853787
ABI,6,9.173333333333334,2.0986666666666665,3.6213333333333333,4.7973333333333334,1.1333333333333333,0.0,0.032
ABI,7,11.787958115183246,3.670157068062827,1.7617801047120418,7.452879581151833,1.0759162303664922,0.08115183246073299,0.01832460732984293
ABI,8,4.982142857142857,2.4183673469387754,1.2015306122448979,3.8494897959183674,1.0255102040816326,0.0,0.015306122448979591
ABI,9,3.259562841530055,1.8633879781420766,1.5273224043715847,3.669398907103825,1.1010928961748634,0.0,0.01366120218579235
ABI,10,4.651948051948052,1.4805194805194806,2.361038961038961,3.742857142857143,2.057142857142857,0.0,0.01818181818181818
ABI,11,2.164804469273743,2.2039106145251397,1.3212290502793296,2.2458100558659218,0.4553072625698324,0.0,0.00558659217877095
ABI,12,3.595687331536388,2.4150943396226414,1.3342318059299192,3.8787061994609164,0.6199460916442049,0.0,0.013477088948787063
ABQ,1,-0.03225806451612903,2.8774193548387097,0.8403823178016726,3.804062126642772,0.25758661887694145,0.016248506571087215,0.007168458781362007
ABQ,2,8.394415830848468,4.336676606126321,2.2369205746814855,6.354025481160206,0.5779343995662781,0.010300894551368935,0.014095960965031174
ABQ,3,4.4786010124252185,3.8607915324436264,1.0577542567878508,4.537275655775425,0.28716060745513117,0.012195121951219513,0.012655315232397607
ABQ,4,3.3150716597318537,3.914239482200647,1.0231160425335182,3.9757281553398056,0.2679149329634766,0.0076282940360610264,0.011789181692094313
ABQ,5,5.790333115610712,4.494448073154801,1.6714565643370347,5.069235793598955,0.4931417374265186,0.033093838449814936,0.012410189418680601
ABQ,6,8.576210526315789,4.717052631578947,1.7442105263157894,6.352,0.6734736842105263,0.033473684210526315,0.012842105263157894
ABQ,7,7.954775907523829,5.064895558710201,1.5548570269722166,5.681606165078078,0.8823767998377611,0.008111944838775096,0.007300750354897587
ABQ,8,6.229531281432307,4.63850331925166,1.3582780124723395,5.573526453429893,0.3387648360490847,0.06698853349426674,0.007845503922751962
ABQ,9,0.11025805075709107,2.727020686713585,0.9087225421198549,3.4689699296225207,0.3548731072723395,0.02943058221369162,0.009170398805715504
ABQ,10,4.891556459816887,4.16500508646999,1.5818921668362156,4.373957273652086,0.45839267548321466,0.0,0.005696846388606307
ABQ,11,3.694425789120215,3.5618983657935974,1.4081038728453101,4.447951645399597,0.20864114618312066,0.040295500335795834,0.006492052831878218
ABQ,12,5.1719547370756604,4.137120035500333,1.3090747725759928,5.227867761260262,0.32482804526292436,0.01309074772575993,0.013312624805857555
ABR,1,-1.0491803278688525,6.327868852459017,0.8688524590163934,1.5163934426229508,4.663934426229508,0.0,0.01639344262295082
ABR,2,16.919642857142858,11.794642857142858,2.455357142857143,9.267857142857142,5.973214285714286,0.0,0.044642857142857144
ABR,3,4.896,1.36,1.064,4.712,4.496,0.0,0.04
ABR,4,1.0583333333333333,0.45,3.9,1.725,1.9916666666666667,0.0,0.041666666666666664
ABR,5,3.3333333333333335,4.528455284552845,1.7967479674796747,0.5121951219512195,5.943089430894309,0.0,0.0
ABR,6,1.1083333333333334,7.491666666666666,0.6333333333333333,1.1083333333333334,1.025,0.0,0.0
ABR,7,-2.2113821138211383,6.121951219512195,2.6341463414634148,0.5853658536585366,0.0,0.0,0.0
ABR,8,-2.620967741935484,6.338709677419355,0.5564516129032258,1.3870967741935485,0.21774193548387097,0.0,0.0
ABR,9,-6.916666666666667,0.9666666666666667,0.16666666666666666,2.558333333333333,0.0,0.0,0.0
ABR,10,-6.74468085106383,0.9716312056737588,1.0354609929078014,2.106382978723404,0.0,0.0,0.0
ABR,11,-5.695652173913044,2.0072463768115942,1.7173913043478262,1.0072463768115942,0.2318840579710145,0.0,0.028985507246376812
ABR,12,31.696,13.064,2.8,7.08,20.744,0.0,0.04
ABY,1,1.3780487804878048,2.0304878048780486,0.8292682926829268,2.792682926829268,1.9024390243902438,0.0,0.006097560975609756
ABY,2,6.135483870967742,2.6838709677419357,0.9806451612903225,5.819354838709677,1.7096774193548387,0.0,0.0064516129032258064
ABY,3,1.6704545454545454,4.096590909090909,0.9318181818181818,0.7215909090909091,1.4034090909090908,0.0,0.0
ABY,4,1.197674418604651,3.8255813953488373,0.5,1.7790697674418605,0.5813953488372093,0.0,0.005813953488372093
ABY,5,3.664772727272727,7.153409090909091,0.8125,2.5170454545454546,0.005681818181818182,0.0,0.0
ABY,6,9.147058823529411,4.311764705882353,2.447058823529412,5.594117647058823,2.6588235294117646,0.0,0.011764705882352941
ABY,7,15.84393063583815,12.023121387283236,0.9421965317919075,3.606936416184971,4.797687861271676,0.0,0.017341040462427744
ABY,8,13.354651162790697,2.2151162790697674,1.6337209302325582,3.505813953488372,10.296511627906977,0.0,0.011627906976744186
ABY,9,1.371069182389937,1.880503144654088,0.3584905660377358,5.333333333333333,0.42138364779874216,0.0,0.0
ABY,10,30.875,2.1988636363636362,9.767045454545455,4.2272727272727275,18.505681818181817,0.07954545454545454,0.011363636363636364
ABY,11,2.9578313253012047,1.427710843373494,1.2108433734939759,3.5301204819277108,2.3072289156626504,0.0,0.0
ABY,12,7.894409937888199,6.099378881987578,0.5962732919254659,3.0869565217391304,4.813664596273292,0.0,0.0
ACK,5,-2.3956043956043955,5.791208791208791,0.9340659340659341,1.065934065934066,2.197802197802198,0.0,0.02197802197802198
ACK,6,9.78076062639821,6.098434004474273,1.8143176733780761,8.183445190156599,2.83668903803132,0.0,0.024608501118568233
ACK,7,12.141330166270784,4.479809976247031,3.005938242280285,9.051068883610451,5.135391923990499,0.0,0.055819477434679333
ACK,8,9.719812426729192,7.221570926143024,1.876905041031653,8.050410316529895,1.6541617819460728,0.0,0.044548651817116064
ACK,9,1.5911949685534592,6.90566037735849,1.0849056603773586,6.09748427672956,1.8459119496855345,0.0,0.025157232704402517
